check_id,metric,authoritative_source,expected_value,thesis_output,absolute_difference,tolerance,status
weak_oracle_1_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9320578044,0.9320578044,0,1e-12,passed
weak_oracle_2_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.912,0.912,0,1e-12,passed
weak_oracle_2_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_oracle_2_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.038,-0.038,0,1e-12,passed
weak_oracle_2_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.3223486042,0.3223486042,0,1e-12,passed
weak_oracle_2_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,1.149515418,1.149515418,0,1e-12,passed
weak_oracle_2_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8839229514,0.8839229514,0,1e-12,passed
weak_oracle_2_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9337943629,0.9337943629,0,1e-12,passed
weak_oracle_3_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.914,0.914,0,1e-12,passed
weak_oracle_3_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_oracle_3_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.036,-0.036,0,1e-12,passed
weak_oracle_3_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,1.173232119,1.173232119,0,1e-12,passed
weak_oracle_3_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,3.309299227,3.309299227,0,1e-12,passed
weak_oracle_3_wilson95_lower,wilson95_lower,results/validation/r500_phase2/coverage_uncertainty.csv,0.8861596159,0.8861596159,0,1e-12,passed
weak_oracle_3_wilson95_upper,wilson95_upper,results/validation/r500_phase2/coverage_uncertainty.csv,0.9355271999,0.9355271999,0,1e-12,passed
weak_oracle_4_conditional_coverage,conditional_coverage,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.916,0.916,0,1e-12,passed
weak_oracle_4_coverage_denominator,coverage_denominator,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,500,500,0,1e-12,passed
weak_oracle_4_coverage_gap,coverage_gap,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,-0.034,-0.034,0,1e-12,passed
weak_oracle_4_rmse,rmse,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,0.6575745087,0.6575745087,0,1e-12,passed
weak_oracle_4_mean_cr_length,mean_cr_length,results/validation/r500_phase2/tables/worst_coverage_scenarios.csv,2.300178147,2.300178147,0,1e-12,passed
