estimator_label,dgp,n,p,pi,tau,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,dgp1,1000,500,0.25,0.75,500,498,2,1,-0.2168897502,-0.0744897502,0.951183672,1.157533327,1.138170948,0.9518072289,0.009597337723,0.932996447,0.9706180109,3.557754914,4,0.566,,,0.004,0.12,,,,,,,,,
DML-IVQR,dgp1,1000,500,0.5,0.25,500,499,1,1,0.008089750196,-0.1255102498,0.679310205,0.8266416902,0.8274299491,0.9579158317,0.008988201029,0.9402989576,0.9755327057,2.921532267,2.9231782,0.1,,,0.002,0.068,,,,,,,,,
DML-IVQR,dgp1,1000,500,0.5,0.5,500,500,0,1,-0.0124,0,0.5676,0.7255894156,0.7262100261,0.938,0.01078480412,0.9168617839,0.9591382161,2.702705905,2.655173664,0.044,,,0,0.014,,,,,,,,,
DML-IVQR,dgp1,1000,500,0.5,0.75,500,500,0,1,-0.0812897502,-0.0744897502,0.646093877,0.8394770893,0.8363688095,0.918,0.01226996333,0.8939508719,0.9420491281,2.928560026,2.941161102,0.194,,,0,0.05,,,,,,,,,
DML-IVQR,dgp1,1000,500,1,0.25,500,500,0,1,-0.0511102498,0.0744897502,0.455889795,0.5816845345,0.5800150644,0.928,0.0115599308,0.9053425356,0.9506574644,2.025897235,2.016068917,0,,,0,0.032,,,,,,,,,
DML-IVQR,dgp1,1000,500,1,0.5,500,500,0,1,-0.0188,0,0.3444,0.442447737,0.4424908545,0.94,0.01062073444,0.9191833605,0.9608166395,1.759041012,1.685233106,0,,,0,0,,,,,,,,,
DML-IVQR,dgp1,1000,500,1,0.75,500,500,0,1,-0.0492897502,-0.0744897502,0.379832647,0.4744201086,0.4723252505,0.942,0.01045332483,0.9215114833,0.9624885167,1.899590312,1.803278975,0.002,,,0,0.002,,,,,,,,,
DML-IVQR,dgp2,500,200,0.1,0.25,500,500,0,1,0.5056897502,0.4744897502,1.184122442,1.385477782,1.291185843,0.958,0.008970618708,0.9404175873,0.9755824127,3.791316617,4,0.76,,,0,0.136,,,,,,,,,
DML-IVQR,dgp2,500,200,0.1,0.5,500,500,0,1,0.026,0.2,1.102,1.271314281,1.272321344,0.95,0.009746794345,0.9308962831,0.9691037169,3.780895311,4,0.744,,,0,0.13,,,,,,,,,
DML-IVQR,dgp2,500,200,0.1,0.75,500,500,0,1,-0.3500897502,-0.0744897502,1.137371426,1.35214181,1.307341931,0.94,0.01062073444,0.9191833605,0.9608166395,3.754198948,4,0.774,,,0,0.174,,,,,,,,,
