dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,500,0.1,0.5,post_selection_ivqr,10,10,0.45,0.75,1.1067971810589328,0.95,0.7,0.7,2.55,2.55,0.0,0.0,0.0,0.3,,0.0,24.0,9.9367602500075,,10,
dgp1,500,500,0.1,0.75,dml_ivqr,10,10,-0.3744897501960816,-0.1744897501960816,1.1619993859731268,1.0,0.8,0.8,3.4,3.4,0.0,0.0,0.0,0.2,,0.0,,32.33769210000173,,10,
dgp1,500,500,0.1,0.75,oracle,10,10,-1.1744897501960814,-1.1744897501960816,1.6520975072058108,1.4395918001568653,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.3,,0.0,10.0,0.459290529997088,,10,
dgp1,500,500,0.1,0.75,post_selection_ivqr,10,10,-0.8744897501960814,-0.6744897501960816,1.5082215762937503,1.2046938501176487,0.7,0.7,2.9,2.9,0.0,0.0,0.0,0.3,,0.0,18.5,9.437021330004791,,10,
dgp1,500,500,0.25,0.25,dml_ivqr,10,10,0.6244897501960816,0.6744897501960817,1.3462865401169115,1.1546938501176491,0.4,0.4,1.75,1.75,0.0,0.0,0.0,0.3,,0.0,,31.342187000007833,,10,
dgp1,500,500,0.25,0.25,oracle,10,10,1.1744897501960818,0.9244897501960816,1.542538872546055,1.3395918001568654,0.0,0.0,0.9,0.9,0.0,0.0,0.3,0.4,,0.0,10.0,0.3077083499927539,,10,
dgp1,500,500,0.25,0.25,post_selection_ivqr,10,10,0.2744897501960817,0.4244897501960817,0.6444723601231532,0.5697959000784326,0.6,0.6,1.55,1.55,0.0,0.0,0.0,0.2,,0.0,20.8,8.905940120009472,,10,
dgp1,500,500,0.25,0.5,dml_ivqr,10,10,-0.1,0.0,0.8944271909999159,0.7,0.7,0.7,1.9,1.9,0.0,0.0,0.0,0.2,,0.0,,38.91637932000449,,10,
dgp1,500,500,0.25,0.5,oracle,10,10,-0.25,-0.5,0.758287544405155,0.65,0.1,0.1,0.25,0.25,0.0,0.0,0.4,0.1,,0.0,10.0,0.47104899000842126,,10,
dgp1,500,500,0.25,0.5,post_selection_ivqr,10,10,0.05,0.0,0.570087712549569,0.25,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.1,,0.0,29.0,13.58267037998885,,10,
dgp1,500,500,0.25,0.75,dml_ivqr,10,10,-0.5744897501960816,-0.6744897501960816,1.0583187010916684,0.8697959000784327,1.0,1.0,2.6,2.6,0.0,0.0,0.0,0.3,,0.0,,32.649792430002705,,10,
dgp1,500,500,0.25,0.75,oracle,10,10,-0.6244897501960816,-0.6744897501960816,0.7499916320199608,0.6244897501960816,0.0,0.0,1.35,1.35,0.0,0.0,0.1,0.2,,0.0,10.0,0.4621581199928187,,10,
dgp1,500,500,0.25,0.75,post_selection_ivqr,10,10,-0.4744897501960816,-0.4244897501960816,0.7649447843087368,0.604693850117649,0.5,0.5,1.25,1.25,0.0,0.0,0.0,0.1,,0.0,23.3,11.48485564001021,,10,
dgp1,500,500,0.5,0.25,dml_ivqr,10,10,0.6244897501960816,0.6744897501960817,0.7158822864828857,0.6244897501960816,0.3,0.3,1.25,1.25,0.0,0.0,0.0,0.1,,0.0,,54.1378741100023,,10,
dgp1,500,500,0.5,0.25,oracle,10,10,0.9244897501960816,0.6744897501960817,1.0330446738731165,0.9244897501960816,0.0,0.0,0.05,0.05,0.0,0.0,0.9,0.0,,0.0,10.0,0.5429685999988578,,10,
dgp1,500,500,0.5,0.25,post_selection_ivqr,10,10,0.2244897501960817,0.1744897501960817,0.3505647557058455,0.28959180015686536,0.1,0.1,0.25,0.25,0.0,0.0,0.2,0.0,,0.0,18.9,19.221907970000757,,10,
dgp1,500,500,0.5,0.5,dml_ivqr,10,10,0.25,0.25,0.3535533905932738,0.25,0.8,0.8,0.4,0.4,0.0,0.0,0.0,0.0,,0.0,,37.142955310002435,,10,
dgp1,500,500,0.5,0.5,oracle,10,10,0.05,0.0,0.6123724356957945,0.45,0.0,0.0,0.1,0.1,0.0,0.0,0.9,0.0,,0.0,10.0,0.7786852199933492,,10,
dgp1,500,500,0.5,0.5,post_selection_ivqr,10,10,0.15,0.0,0.3535533905932738,0.25,0.8,0.8,0.3,0.3,0.0,0.0,0.1,0.0,,0.0,26.7,12.165281440003309,,10,
dgp1,500,500,0.5,0.75,dml_ivqr,10,10,-0.4744897501960816,-0.1744897501960816,1.0174185584316515,0.704693850117649,0.6,0.6,1.3,1.3,0.0,0.0,0.0,0.1,,0.0,,32.0078702400031,,10,
dgp1,500,500,0.5,0.75,oracle,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.15,0.15,0.0,0.0,0.4,0.0,,0.0,10.0,0.5363297000061721,,10,
