dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,500,0.1,0.75,post_selection_ivqr,10,10,-0.8744897501960814,-0.6744897501960816,1.5082215762937503,1.2046938501176487,0.8,0.8,3.27899337603944,3.27899337603944,0.0,0.0,0.0,0.3,,0.0,18.5,10.722872459993232,,10,
dgp1,500,500,0.25,0.25,dml_ivqr,10,10,0.6244897501960816,0.6744897501960817,1.3462865401169115,1.1546938501176491,1.0,1.0,2.2948016835471248,2.2948016835471248,0.0,0.0,0.0,0.3,,0.0,,34.36388255999773,,10,
dgp1,500,500,0.25,0.25,oracle,10,10,1.1744897501960818,0.9244897501960816,1.542538872546055,1.3395918001568654,0.0,0.0,2.0870937505616434,2.0870937505616434,0.0,0.0,0.0,0.7,,0.0,10.0,0.3723187300027348,,10,
dgp1,500,500,0.25,0.25,post_selection_ivqr,10,10,0.2744897501960817,0.4244897501960817,0.6444723601231532,0.5697959000784326,0.9,0.9,2.2678132245588505,2.2678132245588505,0.0,0.0,0.0,0.2,,0.0,20.8,9.472674630000256,,10,
dgp1,500,500,0.25,0.5,dml_ivqr,10,10,-0.1,0.0,0.8944271909999159,0.7,0.7,0.7,2.3452911746570995,2.3452911746570995,0.0,0.0,0.0,0.2,,0.0,,42.66697816000669,,10,
dgp1,500,500,0.25,0.5,oracle,10,10,-0.25,-0.5,0.758287544405155,0.65,0.4,0.4,1.2234862666040474,1.2234862666040474,0.0,0.0,0.0,0.4,,0.0,10.0,0.42911735000670886,,10,
dgp1,500,500,0.25,0.5,post_selection_ivqr,10,10,0.05,0.0,0.570087712549569,0.25,0.9,0.9,1.6571016615804441,1.6571016615804441,0.0,0.0,0.0,0.2,,0.0,29.0,13.285926149995067,,10,
dgp1,500,500,0.25,0.75,dml_ivqr,10,10,-0.5744897501960816,-0.6744897501960816,1.0583187010916684,0.8697959000784327,1.0,1.0,3.011851569665637,3.011851569665637,0.0,0.0,0.0,0.3,,0.0,,37.1627154600108,,10,
dgp1,500,500,0.25,0.75,oracle,10,10,-0.6244897501960816,-0.6744897501960816,0.7499916320199608,0.6244897501960816,0.0,0.0,2.252091449376672,2.252091449376672,0.0,0.0,0.0,0.4,,0.0,10.0,0.4190691500029061,,10,
dgp1,500,500,0.25,0.75,post_selection_ivqr,10,10,-0.4744897501960816,-0.4244897501960816,0.7649447843087368,0.604693850117649,0.8,0.8,2.334575969410438,2.334575969410438,0.0,0.0,0.0,0.1,,0.0,23.3,13.45101378999534,,10,
dgp1,500,500,0.5,0.25,dml_ivqr,10,10,0.6244897501960816,0.6744897501960817,0.7158822864828857,0.6244897501960816,0.5,0.5,1.786431346668553,1.786431346668553,0.0,0.0,0.0,0.1,,0.0,,34.45246776001295,,10,
dgp1,500,500,0.5,0.25,oracle,10,10,0.9244897501960816,0.6744897501960817,1.0330446738731165,0.9244897501960816,0.0,0.0,0.6422338529341158,0.6422338529341158,0.0,0.0,0.0,0.2,,0.0,10.0,0.5158045899879653,,10,
