aggregation,dgp,n,p,pi,tau,grid_variant,replications_requested,replications_successful,failures,direct_true_alpha_available_rate,direct_true_alpha_acceptance,direct_true_alpha_rejection_rate,coverage,bias,rmse,mean_cr_length,median_cr_length,full_grid_acceptance_rate,empty_cr_rate,mean_number_of_connected_components,multiple_components_rate,mean_alpha_evaluations,mean_runtime_seconds,direct_vs_interpolated_mismatch_rate,interpolation_vs_region_mismatch_rate,coverage_loss_vs_direct_rate,interpolation_loss_vs_direct_rate,reconstruction_loss_rate,exact_grid_point_cases,exact_grid_point_consistency_mismatches,total_failed_alpha_evaluations
design_cell,dgp1,500.0,200.0,1.0,0.25,adaptive_21_to_0.025,500,500,0,0.974,0.9404517453798767,0.059548254620123205,0.932,-0.008810249803918207,0.3922737953287314,1.4202708389466152,1.3919947984604701,0.0,0.0,1.148,0.138,27.582,0.3387651584269479,0.002053388090349076,0.0,0.002053388090349076,0.002053388090349076,0.0,0,0,376
design_cell,dgp1,500.0,200.0,1.0,0.5,grid_21,500,500,0,0.98,0.9469387755102041,0.053061224489795916,0.928,0.03080000000000012,0.34304518652795585,1.1964681792871914,1.1902490100864758,0.0,0.0,1.136,0.13,21.0,0.23877622299920767,0.0,0.0,0.0,0.0,0.0,500,0,248
design_cell,dgp1,500.0,200.0,1.0,0.5,grid_41,500,500,0,0.98,0.9469387755102041,0.053061224489795916,0.928,0.02900000000000013,0.3385557561170686,1.2093672216445985,1.2014981550062374,0.0,0.0,1.274,0.252,41.0,0.47176976078003646,0.0,0.0,0.0,0.0,0.0,500,0,507
design_cell,dgp1,500.0,200.0,1.0,0.5,grid_81,500,500,0,0.98,0.9469387755102041,0.053061224489795916,0.928,0.03140000000000011,0.33692729185983145,1.2115301700826357,1.205090393644722,0.0,0.0,1.58,0.462,81.0,0.9287791282050312,0.0,0.0,0.0,0.0,0.0,500,0,982
design_cell,dgp1,500.0,200.0,1.0,0.5,adaptive_21_to_0.025,500,500,0,0.98,0.9469387755102041,0.053061224489795916,0.928,0.032900000000000124,0.3433511322247242,1.2551150977706074,1.2439749860728129,0.0,0.0,1.136,0.13,27.81,0.32357920760661363,0.0,0.0,0.0,0.0,0.0,500,0,369
design_cell,dgp1,500.0,200.0,1.0,0.75,grid_21,500,500,0,0.97,0.931958762886598,0.06804123711340206,0.87,-0.020489750196081426,0.36854284671269605,1.2770474045787659,1.2676985832527081,0.0,0.0,1.15,0.142,21.0,0.2588124926155433,0.07216494845360824,0.0,0.06391752577319587,0.06391752577319587,0.0,0,0,302
design_cell,dgp1,500.0,200.0,1.0,0.75,grid_41,500,500,0,0.97,0.931958762886598,0.06804123711340206,0.868,-0.023689750196081435,0.36989263883504464,1.294304908811816,1.2704504824722456,0.0,0.0,1.324,0.274,41.0,0.5046925461124628,0.05979381443298969,0.0,0.0577319587628866,0.0577319587628866,0.0,0,0,559
design_cell,dgp1,500.0,200.0,1.0,0.75,grid_81,500,500,0,0.97,0.931958762886598,0.06804123711340206,0.87,-0.019689750196081438,0.3642453105570257,1.2945502555794484,1.2791163417093816,0.0,0.0,1.67,0.488,81.0,0.9949738457500935,0.04536082474226804,0.0,0.04536082474226804,0.04536082474226804,0.0,0,0,1119
design_cell,dgp1,500.0,200.0,1.0,0.75,adaptive_21_to_0.025,500,500,0,0.97,0.931958762886598,0.06804123711340206,0.92,-0.019039750196081423,0.3684142499789187,1.3379537851552872,1.3094319848708043,0.0,0.0,1.15,0.142,27.834,0.34736455301567914,0.006185567010309278,0.0,0.004123711340206186,0.004123711340206186,0.0,0,0,428
design_cell,dgp2,500.0,200.0,0.1,0.25,grid_21,500,500,0,0.948,0.9451476793248945,0.05485232067510549,0.86,0.5100897501960817,1.3781016628881562,3.3439181848434227,3.6000000000009704,0.246,0.002,1.96,0.656,21.0,0.7848794993832707,0.08227848101265822,0.0,0.08016877637130802,0.08016877637130802,0.0,0,0,489
