dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,error_type,error_message,failed,converged,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,cr_lower,cr_upper,cr_length,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_empty,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,cr_covers_true,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp1,500,200,1.0,0.25,0,12345,post_selection_ivqr,0.40000000000000013,0.3255102498039183,0.07448975019608184,0.07448975019608184,0.005548722884274674,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.2977776852091106,1.4244042681253766,1.3221819533358508,False,False,False,False,8,0.38095238095238093,2,True,1.722181953334487,True,8,0.3374865830410272,0.3374865830410272,,0.3374865830410272,0.15567649994045496,0.00016958301421254873,,5.758192855864763e-05,,,,,,,,0.3374865830410272,0.1812458341009915,,0.15567649994045496,,0.00016958301421254873,0.00033708405680954456,,,,,,,,,1,0.047619047619047616,0.11443361250212794,1000000000000.0,0.11443361250212794,3.8414588206941205,8,1,9,0.04,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3903708574824635,0.3791735875178557,0.22493902393641557,142.20832312914874,2.122394084782379,lassocv_control_union,0.18748377013677123,,0.052850479897659765,3,False,False,False,,ok; failed_alpha_points=1/21; selected_y=6; selected_d=7; selected_union=8
dgp2,1000,200,0.5,0.5,0,11023345,post_selection_ivqr,0.0,1.0,-1.0,1.0,1.0,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.8000000000004004,1.6024450223398023,2.00244502234125,False,False,False,False,12,0.5714285714285714,2,True,2.4024450223402027,True,41,166.9688234589994,166.9688234589994,,166.9688234589994,166.42036699992605,0.0002179589355364442,,0.00017270806711167097,,,,,,,,166.9688234589994,0.5295351670356467,,166.42036699992605,,0.0002179589355364442,0.01853062503505498,,,,,,,,,3,0.14285714285714285,0.02974411273099623,1000000000000.0,0.02974411273099623,3.8414588206941205,41,1,42,0.205,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.44595550426523,0.42164007185053787,0.05670101966516544,57.52457805085521,3.235737128919922,lassocv_control_union,0.09188193022105662,,0.023751748565616532,3,False,False,False,,ok; failed_alpha_points=3/21; selected_y=32; selected_d=24; selected_union=41
dgp2,1000,200,0.5,0.5,1,11023346,post_selection_ivqr,1.0,1.0,0.0,0.0,0.0,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.5338585777202861,2.050041819505849,0.5161832417862583,False,False,False,False,4,0.19047619047619047,2,True,1.516183241785563,True,53,152.7805104579311,152.7805104579311,,152.7805104579311,152.22860104194842,0.0003732079640030861,,0.000300833024084568,,,,,,,,152.7805104579311,0.5291863750899211,,152.22860104194842,,0.0003732079640030861,0.02204899990465492,,,,,,,,,7,0.3333333333333333,1.0584115983875861,1000000000000.0,1.0584115983875861,3.8414588206941205,53,1,54,0.265,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4410682288051947,0.40912927045120584,0.09737952759180009,101.95165785319615,3.3166870684579894,lassocv_control_union,0.0904611445744411,,0.02108486239429025,3,False,False,False,,ok; failed_alpha_points=7/21; selected_y=40; selected_d=31; selected_union=53
dgp2,1000,200,0.5,0.5,2,11023347,post_selection_ivqr,1.0,1.0,0.0,0.0,0.0,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.512618640245242,1.4000000000005268,0.4873813597565748,False,False,False,False,4,0.19047619047619047,2,True,0.8873813597552849,True,57,151.0963923750678,151.0963923750678,,151.0963923750678,150.54794025002047,0.0004073340678587556,,0.000220458023250103,,,,,,,,151.0963923750678,0.5283969580195844,,150.54794025002047,,0.0004073340678587556,0.019427374936640263,,,,,,,,,5,0.23809523809523808,0.021935191536286147,1000000000000.0,0.021935191536286147,3.8414588206941205,57,1,58,0.285,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4983215479091754,0.4673998154742468,0.11691526528477189,124.58290842095472,3.3212642966181263,lassocv_control_union,0.0756858865480144,,0.02031137631356132,3,False,False,False,,ok; failed_alpha_points=5/21; selected_y=48; selected_d=32; selected_union=57
dgp2,1000,200,0.5,0.5,3,11023348,post_selection_ivqr,1.2000000000000002,1.0,0.20000000000000018,0.20000000000000018,0.04000000000000007,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.5999999999995699,2.0757626556653954,1.0757626556665036,False,False,False,False,7,0.3333333333333333,2,True,1.4757626556658257,True,40,23.503047541016713,23.503047541016713,,23.503047541016713,23.047362791956402,0.0003137079766020179,,0.00020091503392904997,,,,,,,,23.503047541016713,0.43974766705650836,,23.047362791956402,,0.0003137079766020179,0.015422458993270993,,,,,,,,,5,0.23809523809523808,0.011053435562331184,1000000000000.0,0.011053435562331184,3.8414588206941205,40,1,41,0.2,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.45586981932913473,0.43258241076180115,0.08633260272636588,90.52159862402172,3.2574346378348653,lassocv_control_union,0.10811024192984196,,0.023016050567456932,3,False,False,False,,ok; failed_alpha_points=5/21; selected_y=28; selected_d=29; selected_union=40
dgp2,1000,200,0.5,0.5,4,11023349,post_selection_ivqr,1.4000000000000004,1.0,0.40000000000000036,0.40000000000000036,0.16000000000000028,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,0.628940299294965,1.6000000000007268,0.9710597007057619,False,False,False,False,5,0.23809523809523808,1,False,0.9710597007057619,True,37,87.68519954197109,87.68519954197109,,87.68519954197109,87.37222391599789,0.00018429197371006012,,0.00015050091315060854,,,,,,,,87.68519954197109,0.2978509170934558,,87.37222391599789,,0.00018429197371006012,0.014789915992878377,,,,,,,,,2,0.09523809523809523,0.0020405953602115937,1000000000000.0,0.0020405953602115937,3.8414588206941205,37,1,38,0.185,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.44962239692889294,0.42785928671380236,0.11817785978786202,128.78892247910034,3.0267025910767935,lassocv_control_union,0.10229379487173236,,0.02716778272922301,3,False,False,False,,ok; failed_alpha_points=2/21; selected_y=31; selected_d=26; selected_union=37
dgp2,1000,200,0.5,0.5,5,11023350,post_selection_ivqr,0.40000000000000013,1.0,-0.5999999999999999,0.5999999999999999,0.3599999999999998,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.40571675013370256,1.1052588944756994,1.510975644609402,False,False,False,False,8,0.38095238095238093,1,False,1.510975644609402,True,42,118.86179137497675,118.86179137497675,,118.86179137497675,118.55052629101556,0.0001545000122860074,,0.00015937595162540674,,,,,,,,118.86179137497675,0.2684990830020979,,118.55052629101556,,0.0001545000122860074,0.042452124995179474,,,,,,,,,2,0.09523809523809523,0.01806194778690371,1000000000000.0,0.01806194778690371,3.8414588206941205,42,1,43,0.21,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4753311355272821,0.45173201296208665,0.09797121233440886,103.83313733709528,3.064132525493625,lassocv_control_union,0.08471045945058514,,0.021528093753659487,3,False,False,False,,ok; failed_alpha_points=2/21; selected_y=35; selected_d=28; selected_union=42
dgp2,1000,200,0.5,0.5,6,11023351,post_selection_ivqr,1.0,1.0,0.0,0.0,0.0,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.4241789334062207,2.7180947119925216,1.9422736454021545,False,False,False,False,13,0.6190476190476191,4,True,3.1422736453987423,True,37,64.04522216704208,64.04522216704208,,64.04522216704208,63.695356042007916,0.00036754098255187273,,0.00023200013674795628,,,,,,,,64.04522216704208,0.3011675840243697,,63.695356042007916,,0.00036754098255187273,0.04809899989049882,,,,,,,,,4,0.19047619047619047,2.1582421446893357e-06,1000000000000.0,2.1582421446893357e-06,3.8414588206941205,37,1,38,0.185,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4515302279986487,0.4298425575136837,0.05664987554077022,57.70978238423185,3.089148942307332,lassocv_control_union,0.09887098876884153,,0.02525982186463548,3,False,False,False,,ok; failed_alpha_points=4/21; selected_y=33; selected_d=25; selected_union=37
dgp2,1000,200,0.5,0.5,7,11023352,post_selection_ivqr,0.40000000000000013,1.0,-0.5999999999999999,0.5999999999999999,0.3599999999999998,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.3134576338701771,1.3223336010923512,1.6357912349625283,False,False,False,False,8,0.38095238095238093,1,False,1.6357912349625283,True,44,28.8052923749201,28.8052923749201,,28.8052923749201,28.400700625032187,0.00020574999507516623,,0.00019737589173018932,,,,,,,,28.8052923749201,0.3723015410359949,,28.400700625032187,,0.00020574999507516623,0.03188708296511322,,,,,,,,,2,0.09523809523809523,0.06313944855835456,1000000000000.0,0.06313944855835456,3.8414588206941205,44,1,45,0.22,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4868135004269101,0.46260659006968885,0.12068473270112592,130.93510289039597,3.208117628230145,lassocv_control_union,0.08836567769865859,,0.019983178771948804,3,False,False,False,,ok; failed_alpha_points=2/21; selected_y=36; selected_d=32; selected_union=44
dgp2,1000,200,0.5,0.5,8,11023353,post_selection_ivqr,0.6000000000000001,1.0,-0.3999999999999999,0.3999999999999999,0.15999999999999992,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.32758992637692314,1.3020839464011673,0.6296738727802446,False,False,False,False,5,0.23809523809523808,3,True,1.6296738727780904,True,41,64.12625266704708,64.12625266704708,,64.12625266704708,63.77065895800479,0.00015424995217472315,,0.00019745912868529558,,,,,,,,64.12625266704708,0.3316112499451265,,63.77065895800479,,0.00015424995217472315,0.02363075001630932,,,,,,,,,4,0.19047619047619047,0.09717053637683748,1000000000000.0,0.09717053637683748,3.8414588206941205,41,1,42,0.205,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4901907965865825,0.4678167249634231,0.08613070927441738,90.19570918087531,3.177951024324789,lassocv_control_union,0.09578933554486811,,0.019040513766815228,3,False,False,False,,ok; failed_alpha_points=4/21; selected_y=30; selected_d=33; selected_union=41
dgp2,1000,200,0.5,0.5,9,11023354,post_selection_ivqr,-0.19999999999999996,1.0,-1.2,1.2,1.44,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-0.8000000000003834,0.5337676299699782,0.9337676299714184,False,False,False,False,6,0.2857142857142857,2,True,1.3337676299703616,False,36,43.51669425005093,43.51669425005093,,43.51669425005093,43.07112883403897,0.00020412507001310587,,0.00015662494115531445,,,,,,,,43.51669425005093,0.40611808304674923,,43.07112883403897,,0.00020412507001310587,0.03908658295404166,,,,,,,,,4,0.19047619047619047,0.07584620144213836,1000000000000.0,0.07584620144213836,3.8414588206941205,36,1,37,0.18,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4282894852160183,0.40630061926278815,0.0804502585788324,84.16417869165551,3.3051217827235906,lassocv_control_union,0.08987177100777663,,0.025329616992281805,3,False,False,False,,ok; failed_alpha_points=4/21; selected_y=33; selected_d=23; selected_union=36
dgp2,1000,200,0.5,0.75,0,11024345,post_selection_ivqr,1.8000000000000003,1.6744897501960816,0.12551024980391867,0.12551024980391867,0.015752822805842066,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,1.799999999999233,2.668863833356068,0.868863833356835,False,False,False,False,5,0.23809523809523808,1,False,0.868863833356835,False,53,72.18976470897906,72.18976470897906,,72.18976470897906,71.78983191703446,0.00017612508963793516,,0.00018970784731209278,,,,,,,,72.18976470897906,0.3807578750420362,,71.78983191703446,,0.00017612508963793516,0.018809083965606987,,,,,,,,,7,0.3333333333333333,0.005639058515718259,1000000000000.0,0.005639058515718259,3.8414588206941205,53,1,54,0.265,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.4390866044655479,0.4070344104350079,0.09817735319827496,102.87787637780177,3.2850026783742914,lassocv_control_union,0.08089829023160222,,0.02274410445158668,3,False,False,False,,ok; failed_alpha_points=7/21; selected_y=40; selected_d=37; selected_union=53
dgp2,1000,200,0.5,0.75,1,11024346,post_selection_ivqr,0.6000000000000001,1.6744897501960816,-1.0744897501960815,1.0744897501960815,1.1545282232764376,ok,,,False,True,-1.0,3.0,21,0.2,False,False,False,-4.496403249731884e-15,1.9300784428382824,1.1300784428409538,False,False,False,False,8,0.38095238095238093,3,True,1.930078442838287,True,42,66.7332540419884,66.7332540419884,,66.7332540419884,66.3361570420675,0.0001866660313680768,,0.00018675089813768864,,,,,,,,66.7332540419884,0.3804403330432251,,66.3361570420675,,0.0001866660313680768,0.01628324994817376,,,,,,,,,4,0.19047619047619047,0.02748616795206514,1000000000000.0,0.02748616795206514,3.8414588206941205,42,1,43,0.21,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.46761247372604786,0.4436661728580772,0.09610554900671879,101.64561221662605,3.2158246109815214,lassocv_control_union,0.0985916169439056,,0.020929258841594304,3,False,False,False,,ok; failed_alpha_points=4/21; selected_y=26; selected_d=36; selected_union=42
