dgp,n,p,pi,tau,rep,seed,estimator,alpha_hat,alpha_true,bias,absolute_error,squared_error,status,failed,converged,error_type,error_message,cr_lower,cr_upper,cr_length,cr_empty,cr_covers_true,cr_hits_lower_boundary,cr_hits_upper_boundary,cr_hits_any_boundary,cr_accepted_alpha_count,cr_acceptance_rate,cr_n_blocks,cr_disconnected,cr_hull_length,alpha_grid_min,alpha_grid_max,alpha_grid_size,alpha_grid_step,alpha_hat_at_lower_boundary,alpha_hat_at_upper_boundary,alpha_hat_at_any_boundary,failed_alpha_count,failed_alpha_rate,min_test_stat,max_test_stat,test_stat_at_alpha_hat,critical_value,critical_value_nominal,critical_value_multiplier,critical_value_adjusted,selected_controls,runtime_seconds,runtime_total_sec,runtime_data_generation_sec,runtime_estimator_sec,runtime_alpha_grid_sec,runtime_confidence_region_sec,runtime_score_eval_sec,runtime_other_sec,dml_runtime_total_sec,dml_runtime_crossfit_sec,dml_runtime_nuisance_fit_sec,dml_runtime_nuisance_predict_sec,dml_runtime_alpha_loop_sec,dml_runtime_score_eval_sec,dml_runtime_confidence_region_sec,ps_runtime_total_sec,ps_runtime_selection_sec,ps_runtime_first_stage_sec,ps_runtime_alpha_loop_sec,ps_runtime_score_eval_sec,ps_runtime_confidence_region_sec,ps_runtime_diagnostics_sec,oracle_runtime_total_sec,oracle_runtime_alpha_loop_sec,oracle_runtime_score_eval_sec,oracle_runtime_confidence_region_sec,fc_runtime_total_sec,fc_runtime_alpha_loop_sec,fc_runtime_score_eval_sec,fc_runtime_confidence_region_sec,ps_n_selected_controls,ps_n_selected_instruments,ps_n_selected_total,ps_share_selected_controls,ps_share_selected_instruments,ps_instrument_selection_method,ps_n_candidate_instruments,ps_n_retained_instruments,ps_share_retained_instruments,ps_all_instruments_retained,ps_selected_no_controls,ps_selected_no_instruments,ps_selected_empty_total,ps_first_stage_r2,ps_first_stage_adj_r2,ps_first_stage_partial_r2,ps_first_stage_f_stat,ps_first_stage_condition_number,ps_selection_method,ps_selection_lasso_multiplier,ps_lasso_alpha_controls,ps_lasso_alpha_instruments,ps_lasso_alpha_first_stage,ps_lasso_alpha_y_cv,ps_lasso_alpha_d_cv,ps_lasso_alpha_y_final,ps_lasso_alpha_d_final,ps_lasso_cv_folds,ps_selection_failed,ps_first_stage_failed,ps_rank_deficient,ps_warning_code,message
dgp1,500,200,1.0,0.25,0,6453165824556549201,post_selection_ivqr,0.10000000000000009,0.3255102498039183,-0.2255102498039182,0.2255102498039182,0.05085487276662559,ok,False,True,,,-0.5061883723941762,0.8653639938177617,1.371552366211938,False,True,False,False,False,10,0.24390243902439024,1,False,1.371552366211938,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.0018590903763950417,59.37528471864811,0.0018590903763950417,3.841458820694124,3.841458820694124,1.0,3.841458820694124,3,1.0356226000003517,1.0356226000003517,,1.0356226000003517,0.6887439999263734,0.0008686000946909189,,0.00022080005146563053,,,,,,,,1.0356226000003517,0.34351839986629784,,0.6887439999263734,,0.0008686000946909189,0.0022708000615239143,,,,,,,,,3,1,4,0.015,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.45211258129487053,0.44768520821442503,0.34385349874526827,259.4046932406475,2.228827407493596,lassocv_control_union,1.8,0.3188822274794069,,0.08054398734966628,0.17715679304411494,0.04474665963870349,0.3188822274794069,0.08054398734966628,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=3; selected_d=3; selected_union=3; selection_lasso_multiplier=1.8
dgp1,1000,200,0.5,0.5,8,6959892674776500061,post_selection_ivqr,0.8500000000000001,1.0,-0.1499999999999999,0.1499999999999999,0.022499999999999975,ok,False,True,,,0.08327354935858608,1.5227383984728606,1.4394648491142745,False,True,False,False,False,10,0.24390243902439024,1,False,1.4394648491142745,-2.0,4.0,41,0.15,False,False,False,1,0.024390243902439025,0.033474241941402944,1000000000000.0,0.033474241941402944,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,1.146919800201431,1.146919800201431,,1.146919800201431,0.8331911000423133,0.0003991001285612583,,0.00018779980018734932,,,,,,,,1.146919800201431,0.310214800061658,,0.8331911000423133,,0.0003991001285612583,0.002927000168710947,,,,,,,,,5,1,6,0.025,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.31358404007430096,0.3094365116155354,0.12408438604681588,140.6708515999508,2.5516953166439054,lassocv_control_union,1.8,0.2058537976606796,,0.0539903834418264,0.11436322092259978,0.029994657467681332,0.2058537976606796,0.0539903834418264,3,False,False,False,,ok; failed_alpha_points=1/41; selected_y=5; selected_d=4; selected_union=5; selection_lasso_multiplier=1.8
dgp1,1000,200,0.5,0.5,9,4732808616580588883,post_selection_ivqr,1.2999999999999998,1.0,0.2999999999999998,0.2999999999999998,0.0899999999999999,ok,False,True,,,0.12165266243351332,2.01038803333109,1.888735370897577,False,True,False,False,False,12,0.2926829268292683,1,False,1.888735370897577,-2.0,4.0,41,0.15,False,False,False,2,0.04878048780487805,0.03797141157065198,1000000000000.0,0.03797141157065198,3.841458820694124,3.841458820694124,1.0,3.841458820694124,9,2.5659091998822987,2.5659091998822987,,2.5659091998822987,2.261638600146398,0.00037150015123188496,,0.00028819963335990906,,,,,,,,2.5659091998822987,0.3019902999512851,,2.261638600146398,,0.00037150015123188496,0.0016206000000238419,,,,,,,,,9,1,10,0.045,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.34672136680868093,0.3401159205681217,0.10290849064512185,113.45163362566616,2.4617903227962716,lassocv_control_union,1.8,0.1720738209806419,,0.04695297097831963,0.09559656721146771,0.02608498387684424,0.1720738209806419,0.04695297097831963,3,False,False,False,,ok; failed_alpha_points=2/41; selected_y=7; selected_d=7; selected_union=9; selection_lasso_multiplier=1.8
dgp1,1000,200,0.5,0.5,10,9136191385832441904,post_selection_ivqr,1.15,1.0,0.1499999999999999,0.1499999999999999,0.022499999999999975,ok,False,True,,,0.6370292546423685,1.9299157787263026,1.2928865240839342,False,True,False,False,False,9,0.21951219512195122,1,False,1.2928865240839342,-2.0,4.0,41,0.15,False,False,False,1,0.024390243902439025,0.009125432128552128,1000000000000.0,0.009125432128552128,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,1.5645687999203801,1.5645687999203801,,1.5645687999203801,1.217549400171265,0.0005123000591993332,,0.00030119973234832287,,,,,,,,1.5645687999203801,0.34290809999220073,,1.217549400171265,,0.0005123000591993332,0.003297799965366721,,,,,,,,,5,1,6,0.025,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.28654646479725765,0.28223556730358557,0.08644721551338543,93.96510684714518,2.5609132937249357,lassocv_control_union,1.8,0.24920256886088293,,0.051629485176591716,0.1384458715893794,0.028683047320328732,0.24920256886088293,0.051629485176591716,3,False,False,False,,ok; failed_alpha_points=1/41; selected_y=5; selected_d=4; selected_union=5; selection_lasso_multiplier=1.8
dgp1,1000,200,0.5,0.5,11,2509363463210462542,post_selection_ivqr,0.3999999999999999,1.0,-0.6000000000000001,0.6000000000000001,0.3600000000000001,ok,False,True,,,-0.663521565960492,1.3468251227369683,1.7103466886985728,False,True,False,False,False,13,0.3170731707317073,2,True,2.01034668869746,-2.0,4.0,41,0.15,False,False,False,1,0.024390243902439025,0.0015912351184338102,1000000000000.0,0.0015912351184338102,3.841458820694124,3.841458820694124,1.0,3.841458820694124,4,1.3480287999846041,1.3480287999846041,,1.3480287999846041,1.0058987999800593,0.0009536999277770519,,0.00025640008971095085,,,,,,,,1.3480287999846041,0.3373308000154793,,1.0058987999800593,,0.0009536999277770519,0.003589099971577525,,,,,,,,,4,1,5,0.02,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.2973913707829249,0.29385712214501203,0.08806847339196572,95.99411797640408,2.3570822993711555,lassocv_control_union,1.8,0.22049491747468353,,0.054775228706005694,0.12249717637482418,0.030430682614447608,0.22049491747468353,0.054775228706005694,3,False,False,False,,ok; failed_alpha_points=1/41; selected_y=4; selected_d=3; selected_union=4; selection_lasso_multiplier=1.8
dgp1,1000,200,0.5,0.5,12,8923017594284872869,post_selection_ivqr,0.8500000000000001,1.0,-0.1499999999999999,0.1499999999999999,0.022499999999999975,ok,False,True,,,0.21983992621632154,1.150000000000399,0.9301600737840774,False,True,False,False,False,7,0.17073170731707318,1,False,0.9301600737840774,-2.0,4.0,41,0.15,False,False,False,1,0.024390243902439025,0.043085381876547424,1000000000000.0,0.043085381876547424,3.841458820694124,3.841458820694124,1.0,3.841458820694124,4,1.3917406999971718,1.3917406999971718,,1.3917406999971718,1.073868699837476,0.00048539997078478336,,0.00027530035004019737,,,,,,,,1.3917406999971718,0.3136926998849958,,1.073868699837476,,0.00048539997078478336,0.0034185999538749456,,,,,,,,,4,1,5,0.02,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.32880169530015957,0.32542544628255476,0.10911165463222154,121.74026663201522,2.4331024496229796,lassocv_control_union,1.8,0.1829785179122043,,0.05552650063408408,0.10165473217344682,0.03084805590782449,0.1829785179122043,0.05552650063408408,3,False,False,False,,ok; failed_alpha_points=1/41; selected_y=4; selected_d=3; selected_union=4; selection_lasso_multiplier=1.8
dgp1,1000,200,0.5,0.5,13,5545391055686443556,post_selection_ivqr,0.8500000000000001,1.0,-0.1499999999999999,0.1499999999999999,0.022499999999999975,ok,False,True,,,0.4006978489361724,1.5876370932638288,1.1869392443276565,False,True,False,False,False,7,0.17073170731707318,1,False,1.1869392443276565,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.012587524091199148,41.2659033779583,0.012587524091199148,3.841458820694124,3.841458820694124,1.0,3.841458820694124,6,1.3225419998634607,1.3225419998634607,,1.3225419998634607,0.9833371001295745,0.000817399937659502,,0.00027540000155568123,,,,,,,,1.3225419998634607,0.33445029985159636,,0.9833371001295745,,0.000817399937659502,0.003661799943074584,,,,,,,,,6,1,7,0.03,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.30802853039196676,0.30314566719916813,0.10206342343886776,112.75508615442156,2.544810576110093,lassocv_control_union,1.8,0.18764215404735943,,0.05886626272165793,0.10424564113742191,0.03270347928980996,0.18764215404735943,0.05886626272165793,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=6; selected_d=5; selected_union=6; selection_lasso_multiplier=1.8
dgp1,1000,200,0.5,0.5,14,7899558680894191521,post_selection_ivqr,0.6999999999999997,1.0,-0.30000000000000027,0.30000000000000027,0.09000000000000016,ok,False,True,,,0.1361997075898062,1.2232191755421682,1.087019467952362,False,True,False,False,False,7,0.17073170731707318,1,False,1.087019467952362,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.030627029740977505,64.45458165828217,0.030627029740977505,3.841458820694124,3.841458820694124,1.0,3.841458820694124,4,1.092695200117305,1.092695200117305,,1.092695200117305,0.7760131000541151,0.000831299927085638,,0.00023300014436244965,,,,,,,,1.092695200117305,0.31315970001742244,,0.7760131000541151,,0.000831299927085638,0.002458099974319339,,,,,,,,,4,1,5,0.02,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.2955585408815178,0.2920150727773001,0.09530424455232452,104.71190841183245,2.3916789368738858,lassocv_control_union,1.8,0.26004670678214564,,0.06554766081443929,0.14447039265674758,0.03641536711913294,0.26004670678214564,0.06554766081443929,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=4; selected_d=4; selected_union=4; selection_lasso_multiplier=1.8
dgp1,1000,200,0.5,0.5,15,7146689129260165582,post_selection_ivqr,1.15,1.0,0.1499999999999999,0.1499999999999999,0.022499999999999975,ok,False,True,,,0.43533026006006165,1.7873953296964098,1.352065069636348,False,True,False,False,False,9,0.21951219512195122,1,False,1.352065069636348,-2.0,4.0,41,0.15,False,False,False,0,0.0,0.004740217742912679,38.501870036343334,0.004740217742912679,3.841458820694124,3.841458820694124,1.0,3.841458820694124,5,1.3593989999499172,1.3593989999499172,,1.3593989999499172,1.042747600004077,0.0010563998948782682,,0.00025969999842345715,,,,,,,,1.3593989999499172,0.3122457000426948,,1.042747600004077,,0.0010563998948782682,0.003089600009843707,,,,,,,,,5,1,6,0.025,1.0,all_instruments_retained,1,1,1.0,True,False,False,False,0.3318478075463248,0.3278106341780247,0.12127024997093454,137.04026547087412,2.4663090324610097,lassocv_control_union,1.8,0.24617865217332854,,0.04294765672151514,0.1367659178740714,0.023859809289730635,0.24617865217332854,0.04294765672151514,3,False,False,False,,ok; failed_alpha_points=0/41; selected_y=4; selected_d=5; selected_union=5; selection_lasso_multiplier=1.8
