dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,avg_cr_hull_length,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,alpha_hat_boundary_rate,cr_boundary_hit_rate,mean_failed_alpha_count,mean_failed_alpha_rate,mean_selected_controls,critical_value_multiplier,mean_critical_value_adjusted,mean_runtime_seconds,mean_runtime_total_sec,median_runtime_total_sec,mean_runtime_alpha_grid_sec,mean_runtime_confidence_region_sec,mean_dml_runtime_crossfit_sec,mean_ps_runtime_selection_sec,expected_replications,observed_replications,completion_rate
dgp1,1000,200,0.5,0.25,dml_ivqr,10,10,0.09448975019608175,0.1744897501960818,0.6037618014516304,0.5148979500392163,1.0,1.0,2.008079798590413,2.008079798590413,2.035123816867761,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.0,0.0,,1.0,3.841458820694124,41.91935387999401,41.91935387999401,42.02437629995984,41.88760521999211,0.0006658800004515399,0.030751159985084035,,10,10,1.0
dgp1,1000,200,0.5,0.5,dml_ivqr,10,10,-0.1599999999999999,-0.19999999999999996,0.4898979485566356,0.4,0.9,0.9,1.767275243202509,1.767275243202509,1.7745834167834178,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,1.0,3.841458820694124,50.68277171999798,50.68277171999798,50.71056629999657,50.65513985999278,0.0005532399925868301,0.026766369992401402,,10,10,1.0
dgp1,1000,200,0.5,0.75,dml_ivqr,10,10,-0.014489750196081407,-0.0744897501960815,0.38027615342109594,0.24979590007843266,1.0,1.0,1.8994481189030008,1.8994481189030008,1.9326141936792058,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,,1.0,3.841458820694124,41.65320761000039,41.65320761000039,41.78229304999695,41.621423250006046,0.00060961000272069,0.030864549998659598,,10,10,1.0
dgp1,1000,200,1.0,0.25,dml_ivqr,10,10,-0.005510249803918216,-0.1255102498039182,0.34875544849206525,0.2651020499607836,0.8,0.8,0.952915267561558,0.952915267561558,0.952915267561558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.841458820694124,41.46664494999568,41.46664494999568,41.55913700000383,41.43680707000313,0.00076052999938832,0.028721280000172517,,10,10,1.0
dgp1,1000,200,1.0,0.5,dml_ivqr,10,10,0.020000000000000108,0.10000000000000009,0.20976176963403037,0.18000000000000008,1.0,1.0,0.9475396331398802,0.9475396331398802,0.9475396331398802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.841458820694124,50.603679009986806,50.603679009986806,50.69768309997744,50.575630970014025,0.00061149001703593,0.027139999985229174,,10,10,1.0
dgp1,1000,200,1.0,0.75,dml_ivqr,10,10,-0.1744897501960813,-0.27448975019608124,0.2538634926953674,0.2246938501176489,0.9,0.9,1.0476859216262562,1.0476859216262562,1.0476859216262562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.841458820694124,41.914537930005466,41.914537930005466,42.01325420002104,41.88542798999697,0.0005920600029639501,0.028216219990281326,,10,10,1.0
dgp1,1000,500,0.1,0.25,dml_ivqr,10,10,-0.025510249803918295,0.37448975019608177,0.9437429590969452,0.8748979500392166,0.9,0.9,3.5586495672833167,3.5586495672833167,3.587537230199908,0.0,0.0,0.0,0.2,0.2,0.2,1.0,0.0,0.0,,1.0,3.841458820694124,151.07832667999318,151.07832667999318,151.6148726499814,150.99949606001027,0.00046267999568948005,0.07763835999649013,,10,10,1.0
dgp1,1000,500,0.1,0.5,dml_ivqr,10,10,0.6200000000000001,1.5000000000000002,1.5556349186104048,1.4200000000000002,0.7,0.7,3.0625384215212597,3.0625384215212597,3.6830021174805254,0.0,0.0,0.0,0.7,0.1,0.1,1.0,0.0,0.0,,1.0,3.841458820694124,226.6005530699913,226.6005530699913,226.3172877499892,226.5261042100028,0.0006006000039632801,0.07307606000686058,,10,10,1.0
dgp1,1000,500,0.1,0.75,dml_ivqr,10,10,-0.8144897501960815,-1.1744897501960816,1.5335558526426338,1.3297959000784325,0.9,0.9,3.6311152877604322,3.6311152877604322,3.9873042160645555,0.0,0.0,0.0,0.3,0.2,0.2,1.0,0.0,0.0,,1.0,3.841458820694124,171.95400439999648,171.95400439999648,172.26823799998965,171.85698997,0.00076143000042059,0.09546826000441791,,10,10,1.0
dgp1,1000,500,0.25,0.25,dml_ivqr,10,10,0.09448975019608175,-0.02551024980391821,1.0102120138327984,0.78,0.8,0.8,3.007069330526361,3.007069330526361,3.2023540920510896,0.0,0.0,0.0,0.4,0.1,0.1,0.9,0.0,0.0,,1.0,3.841458820694124,158.86496316001285,158.86496316001285,158.7475693000015,158.77325636000606,0.00054645001073363,0.09028053999645633,,10,10,1.0
dgp1,1000,500,0.25,0.5,dml_ivqr,10,10,-0.1999999999999999,-0.29999999999999993,1.0353743284435828,0.8799999999999999,1.0,1.0,3.245487778976836,3.245487778976836,3.2990067296653236,0.0,0.0,0.0,0.3,0.0,0.0,0.8,0.0,0.0,,1.0,3.841458820694124,217.0752665600099,217.0752665600099,217.56641379999928,216.98191574001103,0.00052535000140774,0.09194008000195024,,10,10,1.0
dgp1,1000,500,0.25,0.75,dml_ivqr,10,10,-0.6744897501960815,-0.4744897501960814,1.0690820469541018,0.7646938501176489,1.0,1.0,3.274312338320091,3.274312338320091,3.6554348861799992,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.0,0.0,,1.0,3.841458820694124,152.79890213001053,152.79890213001053,153.0800595000037,152.69965776999015,0.00052565000369209,0.09780821999302129,,10,10,1.0
dgp1,1000,500,0.5,0.25,dml_ivqr,10,10,-0.20551024980391822,-0.1255102498039182,0.603186921919291,0.4651020499607837,1.0,1.0,2.468791871531784,2.468791871531784,2.468791871531784,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,,1.0,3.841458820694124,150.27214565000614,150.27214565000614,150.52829059999203,150.18681041000528,0.0005221500061452,0.08392829000367777,,10,10,1.0
